"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"reannotate_1773","ligase activity, forming carbon-sulfur bonds","GO:0016877","0.0014089107657238255","2.8511165123420037","391","1108","15","129949","O05307,O53551,O53580,P71716,P95141,P9WQ41,P9WQ43,P9WQ55,P9WQ61,O06417,O53521,P9WGC5,P96843,P9WGC7,P9WQ39"
"reannotate_1773","catalytic activity, acting on a tRNA","GO:0140101","0.0014442622274888136","2.840353946924206","853","1108","23","129949","P9WFS9,P9WFV3,P9WFT1,P9WFT3,P9WFT5,P9WFT7,P9WFT9,P9WFU1,P9WFU3,P9WFV1,P9WFW3,P9WFW7,P9WFY7,P9WHP7,P9WHP9,P9WJW1,P9WMP7,P9WN59,P9WN61,P9WFV5,P9WFW5,P9WHN7,P9WND3"
"reannotate_1773","NADP binding","GO:0050661","0.0014571444832548795","2.8364973835976737","498","1108","17","129949","P9WG57,P9WHH3,P9WHH7,P9WIE5,P9WIQ3,P9WKJ7,P9WN83,P9WNF9,P9WNX5,P9WP23,P9WPP3,P9WNS1,P9WHV1,P9WMP7,P9WN71,P9WN73,P9WPZ9"
"reannotate_1773","deoxyribonucleotide biosynthetic process","GO:0009263","0.0014871184236876912","2.827654445932488","130","1108","9","129949","P9WFR9,P9WG57,P9WH69,P9WH71,P9WH75,P9WKE1,P9WP17,P9WH77,P9WH73"
"reannotate_1773","small molecule sensor activity","GO:0140299","0.0015299134582857589","2.815333134967984","250","1108","12","129949","O69729,P96368,P9WGK1,P9WGK3,P9WGK5,P9WGK9,P9WGL1,P9WGL3,P9WHJ3,P9WMI9,P9WGK7,P9WHJ9"
"reannotate_1773","carbohydrate catabolic process","GO:0016052","0.0016090834513901057","2.7934214316384485","345","1108","14","129949","P9WID3,P9WID7,P9WKD7,P9WN69,P9WN83,P9WNL1,P9WQ19,Q79FW5,P9WQ23,P9WQA3,P9WID1,P9WP03,P9WPK1,P9WQ21"
"reannotate_1773","proton transmembrane transport","GO:1902600","0.0016639074763591677","2.7788708268576974","346","1108","14","129949","P9WP37,P9WP69,P9WPU7,P9WHH5,P9WIW1,P9WIW5,P9WJH1,P9WP35,P9WP71,P9WPS1,P9WPU5,P9WPU9,P9WPV1,P9WPV5"
"reannotate_1773","pyruvate dehydrogenase complex","GO:0045254","0.0018066588134548769","2.743123855974979","4","1108","3","129949","P9WHH9,P9WIS7,P9WIS9"
"reannotate_1773","symbiont-mediated disruption of host anatomical structure","GO:0052111","0.0018066588134548769","2.743123855974979","4","1108","3","129949","P9WIB3,P9WIB5,P9WIB1"
"reannotate_1773","symbiont-mediated disruption of host cellular anatomical entity","GO:0052008","0.0018066588134548769","2.743123855974979","4","1108","3","129949","P9WIB3,P9WIB5,P9WIB1"
"reannotate_1773","regulation of transcription regulatory region DNA binding","GO:2000677","0.0018066588134548769","2.743123855974979","4","1108","3","129949","P9WPE7,P9WPE9,P9WNV9"
"reannotate_1773","positive regulation of transcription regulatory region DNA binding","GO:2000679","0.0018066588134548769","2.743123855974979","4","1108","3","129949","P9WPE7,P9WPE9,P9WNV9"
"reannotate_1773","positive regulation of proteolysis","GO:0045862","0.0018066588134548769","2.743123855974979","4","1108","3","129949","P9WN39,P9WQP1,P9WKX3"
"reannotate_1773","dormancy exit of symbiont in host","GO:0085016","0.0018066588134548769","2.743123855974979","4","1108","3","129949","P9WG27,P9WG29,P9WMH7"
"reannotate_1773","peptidyl-threonine phosphorylation","GO:0018107","0.0018066588134548769","2.743123855974979","4","1108","3","129949","P9WI63,P9WI69,P9WI83"
