Sample	Bacillariophyta	Bolidophyceae	Chrysophyceae	Dictyochophyceae	Pelagophyceae	Phaeophyceae	Pinguiophyceae	Raphidophyceae	Strameno_all	Photo_all	depth_level	station	template	fraction	ntags	Month	Latitude	Longitude	sampling_depth	date	chloro_hplc	tara_NO2	tara_PO4	NO2NO3	tara_SI	tara_temp	tara_salinity
TV9_247	4093	1	48	244	20	1	7	0	4414	4814	SUR	32	WGA/D	5-20	1111481	jan	23.36	37.21833333	3	11-Jan-2010 08:33:59	0.003362	0.017	0.025	0.000	0.864	25.992	39.718
TV9_252	3628	22	975	1721	22438	135	1	4	28924	72839	DCM	32	D	0.8-5	1319440	jan	23.36	37.21833333	80	11-Jan-2010 14:27:54	0.214328	0.010	0.025	0.012	0.850	26.144	40.181
TV9_248	2041	308	12917	9392	1720	659	0	11	27048	59324	SUR	32	D	0.8-5	805739	jan	23.36	37.21833333	3	11-Jan-2010 08:33:59	0.003362	0.017	0.025	0.000	0.864	25.992	39.718
TV9_250	208	0	3	8	17	0	0	0	236	266	DCM	32	D	180-2000	1111037	jan	23.36	37.21833333	80	11-Jan-2010 14:27:54	0.214328	0.010	0.025	0.012	0.850	26.144	40.181
TV9_246	576	2	116	213	2548	14	0	0	3469	8481	SUR	32	D	180-2000	1577664	jan	23.36	37.21833333	3	11-Jan-2010 08:33:59	0.003362	0.017	0.025	0.000	0.864	25.992	39.718
TV9_253	6140	0	15	13	97	0	2	0	6267	6539	DCM	32	D	20-180	1722710	jan	23.36	37.21833333	80	11-Jan-2010 14:27:54	0.214328	0.010	0.025	0.012	0.850	26.144	40.181
TV9_249	2993	3	14	22	72	0	2	0	3106	3417	SUR	32	D	20-180	1888062	jan	23.36	37.21833333	3	11-Jan-2010 08:33:59	0.003362	0.017	0.025	0.000	0.864	25.992	39.718
TV9_202	129	0	1	2	36	0	0	0	168	480	SUR	33	D	180-2000	1475449	jan	21.94666667	38.25166667	3	13-Jan-2010 09:27:15	0.116858	0.001	0.058	0.003	1.179	27.295	38.951
TV9_204	996	0	2	3	38	0	1	0	1040	1829	SUR	33	D	20-180	1494134	jan	21.94666667	38.25166667	3	13-Jan-2010 09:27:15	0.116858	0.001	0.058	0.003	1.179	27.295	38.951
TV9_167	16616	14	77	124	345	6	0	0	17182	18751	DCM	34	D	5-20	1023995	jan	18.39666667	39.875	60	20-Jan-2010 07:44:50	0.181406	0.269	0.089	0.635	1.353	27.579	38.889
