name	taxonomy_id	taxonomy_lvl	CD_7_long.contigs.assembly.bracken_G.txt_num	CD_7_long.contigs.assembly.bracken_G.txt_frac	CD_7_short.contigs.assembly.bracken_G.txt_num	CD_7_short.contigs.assembly.bracken_G.txt_frac	CD_7_short.scaffolds.assembly.bracken_G.txt_num	CD_7_short.scaffolds.assembly.bracken_G.txt_frac	TD_31_short.contigs.assembly.bracken_G.txt_num	TD_31_short.contigs.assembly.bracken_G.txt_frac	TD_31_short.scaffolds.assembly.bracken_G.txt_num	TD_31_short.scaffolds.assembly.bracken_G.txt_frac	TD_92_long.contigs.assembly.bracken_G.txt_num	TD_92_long.contigs.assembly.bracken_G.txt_frac	TD_92_short.contigs.assembly.bracken_G.txt_num	TD_92_short.contigs.assembly.bracken_G.txt_frac	TD_92_short.scaffolds.assembly.bracken_G.txt_num	TD_92_short.scaffolds.assembly.bracken_G.txt_frac
Afonbuvirus	2942989	G	0	0.00000	16	0.00085	16	0.00086	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Buchavirus	2942994	G	0	0.00000	16	0.00085	16	0.00086	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Toutatisvirus	2733138	G	0	0.00000	19	0.00101	19	0.00102	22	0.00213	22	0.00215	0	0.00000	0	0.00000	0	0.00000
Oengusvirus	2733199	G	0	0.00000	17	0.00090	17	0.00091	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Limosilactobacillus	2742598	G	0	0.00000	0	0.00000	0	0.00000	58	0.00562	57	0.00558	0	0.00000	49	0.00473	44	0.00446
Niallia	2837506	G	0	0.00000	0	0.00000	0	0.00000	21	0.00203	21	0.00205	0	0.00000	0	0.00000	0	0.00000
Brevibacillus	55080	G	0	0.00000	0	0.00000	0	0.00000	13	0.00126	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Listeria	1637	G	0	0.00000	0	0.00000	0	0.00000	48	0.00465	47	0.00460	0	0.00000	0	0.00000	0	0.00000
Kurthia	1649	G	0	0.00000	0	0.00000	0	0.00000	12	0.00116	12	0.00117	0	0.00000	0	0.00000	0	0.00000
Curtobacterium	2034	G	0	0.00000	0	0.00000	0	0.00000	16	0.00155	16	0.00156	0	0.00000	0	0.00000	0	0.00000
Brussowvirus	1623303	G	0	0.00000	0	0.00000	0	0.00000	37	0.00358	36	0.00352	0	0.00000	22	0.00212	22	0.00223
Moineauvirus	1623304	G	0	0.00000	0	0.00000	0	0.00000	34	0.00329	34	0.00333	0	0.00000	0	0.00000	0	0.00000
Pediococcus	1253	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	45	0.00434	44	0.00446
Lactobacillus	1578	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	29	0.00280	30	0.00304
Weissella	46255	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00106	11	0.00112
Enterocloster	2719313	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	57	0.00550	57	0.00578
Peduovirus	140410	G	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00145	15	0.00152
